Name	IUPAC
CFG-129-Sp0	Gal(β1-3)GalNAc(β1-4)[Neu5Ac(α2-3)]Gal(β1-4)Glc(β-Sp0
CFG-130-Sp8	Gal(β1-3)GalNAc(β1-4)Gal(β1-4)Glc(β-Sp8
CFG-131-Sp8	Gal(β1-3)Gal(β-Sp8
CFG-132-Sp0	Gal(β1-3)GlcNAc(β1-3)Gal(β1-4)GlcNAc(β-Sp0
CFG-133-Sp10	Gal(β1-3)GlcNAc(β1-3)Gal(β1-4)Glc(β-Sp10
CFG-134-Sp0	Gal(β1-3)GlcNAc(β-Sp0
CFG-134-Sp8	Gal(β1-3)GlcNAc(β-Sp8
CFG-136-Sp0	Gal(β1-4)[Fuc(α1-3)]GlcNAc(β-Sp0
CFG-136-Sp8	Gal(β1-4)[Fuc(α1-3)]GlcNAc(β-Sp8
CFG-137-Sp0	Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β-Sp0
CFG-138-Sp0	Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β-Sp0
CFG-140-Sp0	Gal(β1-4)Glc6OS(β-Sp0
CFG-140-Sp8	Gal(β1-4)Glc6OS(β-Sp8
CFG-141-Sp8	Gal(β1-4)GalNAc(α1-3)[Fuc(α1-2)]Gal(β1-4)GlcNAc(β-Sp8
CFG-142-Sp8	Gal(β1-4)GalNAc(β1-3)[Fuc(α1-2)]Gal(β1-4)GlcNAc(β-Sp8
CFG-144-Sp8	Gal(β1-4)GlcNAc(β1-3)GalNAc(α-Sp8
CFG-144-Sp14	Gal(β1-4)GlcNAc(β1-3)GalNAc(-Sp14
CFG-145-Sp0	Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β-Sp0
CFG-146-Sp0	Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)GlcNAc(β-Sp0
CFG-147-Sp0	Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)GlcNAc(β-Sp0
CFG-148-Sp0	Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)Glc(β-Sp0
CFG-148-Sp8	Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)Glc(β-Sp8
CFG-152-Sp8	Gal(β1-4)GlcNAc(β1-6)[Gal(β1-3)]GalNAc(α-Sp8
CFG-152-Sp14	Gal(β1-4)GlcNAc(β1-6)[Gal(β1-3)]GalNAc(-Sp14
CFG-153-Sp0	Gal(β1-4)GlcNAc(β-Sp0
CFG-153-Sp8	Gal(β1-4)GlcNAc(β-Sp8
CFG-153-Sp23	Gal(β1-4)GlcNAc(β-Sp23
CFG-154-Sp0	Gal(β1-4)Glc(β-Sp0
CFG-154-Sp8	Gal(β1-4)Glc(β-Sp8
CFG-155-Sp8	GlcNAc(α1-3)Gal(β1-4)GlcNAc(β-Sp8
CFG-156-Sp8	GlcNAc(α1-6)Gal(β1-4)GlcNAc(β-Sp8
CFG-158-Sp8	GlcNAc(β1-2)Gal(β1-3)GalNAc(α-Sp8
CFG-159-Sp8	GlcNAc(β1-6)[GlcNAc(β1-3)]GalNAc(α-Sp8
CFG-159-Sp14	GlcNAc(β1-6)[GlcNAc(β1-3)]GalNAc(α-Sp14
CFG-161-Sp8	GlcNAc(β1-6)[GlcNAc(β1-3)]Gal(β1-4)GlcNAc(β-Sp8
CFG-162-Sp8	GlcNAc(β1-3)GalNAc(α-Sp8
CFG-162-Sp14	GlcNAc(β1-3)GalNAc(α-Sp14
CFG-163-Sp8	GlcNAc(β1-3)Gal(β-Sp8
CFG-164-Sp0	GlcNAc(β1-3)Gal(β1-4)GlcNAc(β-Sp0
CFG-164-Sp8	GlcNAc(β1-3)Gal(β1-4)GlcNAc(β-Sp8
CFG-165-Sp0	GlcNAc(β1-3)Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)GlcNAc(β-Sp0
CFG-166-Sp0	GlcNAc(β1-3)Gal(β1-4)Glc(β-Sp0
CFG-167-MDPLys	GlcNAc(β1-4)MDPLys
CFG-168-Sp8	GlcNAc(β1-6)[GlcNAc(β1-4)]GalNAc(α-Sp8
CFG-169-Sp8	GlcNAc(β1-4)Gal(β1-4)GlcNAc(β-Sp8
CFG-170-Sp8	GlcNAc(β1-4)GlcNAc(β1-4)GlcNAc(β1-4)GlcNAc(β1-4)GlcNAc(β1-4)GlcNAc(β1-Sp8
CFG-171-Sp8	GlcNAc(β1-4)GlcNAc(β1-4)GlcNAc(β1-4)GlcNAc(β1-4)GlcNAc(β1-Sp8
CFG-173-Sp8	GlcNAc(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp8
CFG-176-Sp8	GlcNAc(β1-6)GalNAc(α-Sp8
CFG-176-Sp14	GlcNAc(β1-6)GalNAc(α-Sp14
CFG-177-Sp8	GlcNAc(β1-6)Gal(β1-4)GlcNAc(β-Sp8
CFG-178-Sp8	Glc(α1-4)Glc(β-Sp8
CFG-179-Sp8	Glc(α1-4)Glc(α-Sp8
CFG-180-Sp8	Glc(α1-6)Glc(α1-6)Glc(β-Sp8
CFG-181-Sp8	Glc(β1-4)Glc(β-Sp8
CFG-182-Sp8	Glc(β1-6)Glc(β-Sp8
CFG-183-Sp8	Glc-ol(-Sp8
CFG-184-Sp8	GlcA(α-Sp8
CFG-185-Sp8	GlcA(β-Sp8
CFG-186-Sp8	GlcA(β1-3)Gal(β-Sp8
CFG-187-Sp8	GlcA(β1-6)Gal(β-Sp8
CFG-188-Sp0	Kdn(α2-3)Gal(β1-3)GlcNAc(β-Sp0
CFG-189-Sp0	Kdn(α2-3)Gal(β1-4)GlcNAc(β-Sp0
CFG-190-Sp9	Man(α1-2)Man(α1-2)Man(α1-3)Man(α-Sp9
CFG-191-Sp9	Man(α1-2)Man(α1-6)[Man(α1-2)Man(α1-3)]Man(α-Sp9
CFG-192-Sp9	Man(α1-2)Man(α1-3)Man(α-Sp9
CFG-195-Sp12	Man(α1-6)[Man(α1-2)Man(α1-3)]Man(α1-6)[Man(α1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp12
CFG-197-Sp12	Man(α1-2)Man(α1-6)[Man(α1-3)]Man(α1-6)[Man(α1-2)Man(α1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp12
CFG-198-Sp12	Man(α1-2)Man(α1-6)[Man(α1-2)Man(α1-3)]Man(α1-6)[Man(α1-2)Man(α1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp12
CFG-199-Sp9	Man(α1-6)[Man(α1-3)]Man(α-Sp9
CFG-200-Sp9	Man(α1-2)Man(α1-2)Man(α1-6)[Man(α1-3)]Man(α-Sp9
CFG-203-Sp12	Man(α1-6)[Man(α1-3)]Man(α1-6)[Man(α1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp12
CFG-205-Sp12	Man(α1-6)[Man(α1-3)]Man(α1-6)[Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp12
CFG-208-Sp0	Man(β1-4)GlcNAc(β-Sp0
CFG-210-Sp0	Neu5Ac(α2-3)Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β-Sp0
CFG-211-Sp8	Gal3OS(β1-4)[Fuc(α1-3)]GlcNAc6OS(β-Sp8
CFG-212-Sp0	Fuc(α1-2)Gal6OS(β1-4)GlcNAc(β-Sp0
CFG-213-Sp8	Fuc(α1-2)Gal(β1-4)GlcNAc6OS(β-Sp8
CFG-216-Sp0	Fuc(α1-2)Gal6OS(β1-4)Glc6OS(β-Sp0
CFG-220-Sp8	Neu5Ac(α2-3)Gal(β1-3)GalNAc(α-Sp8
CFG-220-Sp14	Neu5Ac(α2-3)Gal(β1-3)GalNAc(α-Sp14
CFG-221-Sp0	GalNAc(β1-4)[Neu5Ac(α2-8)Neu5Ac(α2-8)Neu5Ac(α2-8)Neu5Ac(α2-3)]Gal(β1-4)Glc(β-Sp0
CFG-223-Sp0	GalNAc(β1-4)[Neu5Ac(α2-8)Neu5Ac(α2-8)Neu5Ac(α2-3)]Gal(β1-4)Glc(β-Sp0
CFG-224-Sp0	Neu5Ac(α2-8)Neu5Ac(α2-8)Neu5Ac(α2-3)Gal(β1-4)Glc(β-Sp0
CFG-225-Sp0	GalNAc(β1-4)[Neu5Ac(α2-8)Neu5Ac(α2-3)]Gal(β1-4)Glc(β-Sp0
CFG-227-Sp8	Neu5Ac(α2-8)Neu5Ac(α2-8)Neu5Ac(α-Sp8
CFG-229-Sp8	Neu5Ac(α2-3)Gal6OS(β1-4)[Fuc(α1-3)]GlcNAc(β-Sp8
CFG-230-Sp0	GalNAc(β1-4)[Neu5Ac(α2-3)]Gal(β1-4)GlcNAc(β-Sp0
CFG-230-Sp8	GalNAc(β1-4)[Neu5Ac(α2-3)]Gal(β1-4)GlcNAc(β-Sp8
CFG-231-Sp0	GalNAc(β1-4)[Neu5Ac(α2-3)]Gal(β1-4)Glc(β-Sp0
CFG-232-Sp0	Neu5Ac(α2-3)Gal(β1-3)GalNAc(β1-4)[Neu5Ac(α2-3)]Gal(β1-4)Glc(β-Sp0
CFG-233-Sp8	Neu5Ac(α2-6)[Neu5Ac(α2-3)]GalNAc(α-Sp8
CFG-234-Sp8	Neu5Ac(α2-3)GalNAc(α-Sp8
CFG-235-Sp0	Neu5Ac(α2-3)GalNAc(β1-4)GlcNAc(β-Sp0
CFG-236-Sp8	Neu5Ac(α2-3)Gal(β1-3)GlcNAc6OS(-Sp8
CFG-237-Sp8	Neu5Ac(α2-3)Gal(β1-3)[Fuc(α1-4)]GlcNAc(β-Sp8
CFG-238-Sp0	Neu5Ac(α2-3)Gal(β1-3)[Fuc(α1-4)]GlcNAc(β1-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β-Sp0
CFG-240-Sp8	Neu5Ac(α2-3)Gal(β1-4)[Neu5Ac(α2-3)Gal(β1-3)]GlcNAc(β-Sp8
CFG-243-Sp8	Neu5Ac(α2-3)Gal(β1-3)GalNAc6OS(α-Sp8
CFG-244-Sp8	Neu5Ac(α2-6)[Neu5Ac(α2-3)Gal(β1-3)]GalNAc(α-Sp8
CFG-244-Sp14	Neu5Ac(α2-6)[Neu5Ac(α2-3)Gal(β1-3)]GalNAc(α-Sp14
CFG-245-Sp8	Neu5Ac(α2-3)Gal(β-Sp8
CFG-246-Sp0	Neu5Ac(α2-3)Gal(β1-3)GalNAc(β1-3)Gal(α1-4)Gal(β1-4)Glc(β-Sp0
CFG-247-Sp0	Neu5Ac(α2-3)Gal(β1-3)GlcNAc(β1-3)Gal(β1-4)GlcNAc(β-Sp0
CFG-248-Sp0	Fuc(α1-2)Gal6OS(β1-4)Glc(β-Sp0
CFG-249-Sp0	Neu5Ac(α2-3)Gal(β1-3)GlcNAc(β-Sp0
CFG-249-Sp8	Neu5Ac(α2-3)Gal(β1-3)GlcNAc(β-Sp8
CFG-250-Sp8	Neu5Ac(α2-3)Gal(β1-4)GlcNAc6OS(β-Sp8
CFG-251-Sp8	Neu5Ac(α2-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc6OS(β-Sp8
CFG-252-Sp0	Neu5Ac(α2-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β-Sp0
CFG-253-Sp0	Neu5Ac(α2-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β-Sp0
CFG-253-Sp8	Neu5Ac(α2-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β-Sp8
CFG-254-Sp8	Neu5Ac(α2-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-3)Gal(β-Sp8
CFG-255-Sp8	Neu5Ac(α2-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-3)Gal(β1-4)GlcNAc(β-Sp8
CFG-257-Sp0	Neu5Ac(α2-3)Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)GlcNAc(β-Sp0
CFG-258-Sp0	Neu5Ac(α2-3)Gal(β1-4)GlcNAc(β-Sp0
CFG-258-Sp8	Neu5Ac(α2-3)Gal(β1-4)GlcNAc(β-Sp8
CFG-259-Sp0	Neu5Ac(α2-3)Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)GlcNAc(β-Sp0
CFG-260-Sp0	Fuc(α1-2)Gal(β1-4)Glc6OS(β-Sp0
CFG-261-Sp0	Neu5Ac(α2-3)Gal(β1-4)Glc(β-Sp0
CFG-261-Sp8	Neu5Ac(α2-3)Gal(β1-4)Glc(β-Sp8
CFG-263-Sp8	Neu5Ac(α2-6)GalNAc(α-Sp8
CFG-264-Sp0	Neu5Ac(α2-6)GalNAc(β1-4)GlcNAc(β-Sp0
CFG-267-Sp8	Neu5Ac(α2-6)Gal(β1-4)GlcNAc6OS(β-Sp8
CFG-268-Sp0	Neu5Ac(α2-6)Gal(β1-4)GlcNAc(β-Sp0
CFG-268-Sp8	Neu5Ac(α2-6)Gal(β1-4)GlcNAc(β-Sp8
CFG-269-Sp0	Neu5Ac(α2-6)Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β-Sp0
CFG-270-Sp0	Neu5Ac(α2-6)Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)GlcNAc(β-Sp0
CFG-271-Sp0	Neu5Ac(α2-6)Gal(β1-4)Glc(β-Sp0
CFG-271-Sp8	Neu5Ac(α2-6)Gal(β1-4)Glc(β-Sp8
CFG-272-Sp8	Neu5Ac(α2-6)Gal(β-Sp8
